"INVENTORY_ID","PLOT_ID","N","N_0_75","N_75_125","N_125_175","N_175_225","N_225_275","N_275_325","N_325_375","N_375_425","N_425_","dbh_min","dbh_max","dbh_mean","dg","G","g_min","g_max","g_mean","h_min","h_max","h_mean","Ho","Do","sp_1","sp_2","sp_3","G_sp_1","G_sp_2","G_sp_3","N_sp_1","N_sp_2","N_sp_3","G_alive","G_dead","N_alive","N_dead","slenderness","dominant_slenderness","SDI","S","S_staggered"
"JCyL_ORD","JCyL_ORD_10",48.032274963602,0,0,16.0107583212007,16.0107583212007,16.0107583212007,0,0,0,0,17.25,26.6,22.0833333333333,22.4119201914219,1.89487764699965,233.705040995953,555.716324493499,394.500915985252,9.2,10.8,9.83333333333333,9.83333333333333,22.0833333333333,25,NA,NA,1.89487764699965,NA,NA,48.032274963602,NA,NA,1.89487764699965,NA,48.032274963602,NA,44.5283018867925,44.5283018867925,57.2410995597073,146.734643207242,273.103943934545
"JCyL_ORD","JCyL_ORD_1004",48.032274963602,0,0,0,0,0,32.0215166424014,16.0107583212007,0,0,28.3,33.6,30.9166666666667,30.9923243185578,3.62352560233389,629.017535083382,886.683110549183,754.393916398864,17.7,18.3,18,18,30.9166666666667,25,NA,NA,3.62352560233389,NA,NA,48.032274963602,NA,NA,3.62352560233389,NA,48.032274963602,NA,58.2210242587601,58.2210242587601,34.0223229716204,80.1605921224749,149.195673075353
"JCyL_ORD","JCyL_ORD_1006",48.032274963602,0,0,0,0,48.032274963602,0,0,0,0,23.05,27.25,25.1833333333333,25.2416817981687,2.40358570997435,417.284007708473,583.207223707818,500.410549322459,14.8,17.5,16.1,16.1,25.1833333333333,25,NA,NA,2.40358570997435,NA,NA,48.032274963602,NA,NA,2.40358570997435,NA,48.032274963602,NA,63.9311714096625,63.9311714096625,47.2962838685779,89.62053777668,166.802615860643
"JCyL_ORD","JCyL_ORD_1008",48.032274963602,0,0,0,0,48.032274963602,0,0,0,0,22.55,24.75,23.5666666666667,23.5840694820324,2.09826593229717,399.376929583011,481.105462466149,436.845003466356,11,13.3,12.2,12.2,23.5666666666667,25,NA,NA,2.09826593229717,NA,NA,48.032274963602,NA,NA,2.09826593229717,NA,48.032274963602,NA,51.7680339462518,51.7680339462518,52.7440875747394,118.26972608234,220.1247635538
"JCyL_ORD","JCyL_ORD_101",48.032274963602,0,0,0,0,0,32.0215166424014,16.0107583212007,0,0,27.9,34.8,31.0833333333333,31.2129914191725,3.67530871183542,611.361784370208,951.148591800846,765.174815188434,17.3,19.8,18.8666666666667,18.8666666666667,31.0833333333333,21,NA,NA,3.67530871183542,NA,NA,48.032274963602,NA,NA,3.67530871183542,NA,48.032274963602,NA,60.6970509383378,60.6970509383378,33.6371014392366,76.4783034384036,142.342161591326
"JCyL_ORD","JCyL_ORD_1011",48.032274963602,0,0,16.0107583212007,32.0215166424014,0,0,0,0,0,17,20.2,18.8833333333333,18.9327097902017,1.35222385694885,226.980069221863,320.473866592695,281.524008174407,10,11.8,11.0666666666667,11.0666666666667,18.8833333333333,25,NA,NA,1.35222385694885,NA,NA,48.032274963602,NA,NA,1.35222385694885,NA,48.032274963602,NA,58.6054721977052,58.6054721977052,75.0413022619681,130.381685982339,242.667661026177
"JCyL_ORD","JCyL_ORD_102",48.032274963602,0,0,0,0,16.0107583212007,32.0215166424014,0,0,0,23.6,30.1,27.3833333333333,27.5219457887701,2.85746755696394,437.435361085843,711.578590019722,594.905729351623,11.8,13.8,12.9,12.9,27.3833333333333,21,NA,NA,2.85746755696394,NA,NA,48.032274963602,NA,NA,2.85746755696394,NA,48.032274963602,NA,47.1089470480828,47.1089470480828,41.1663022941057,111.851989008105,208.180008942353
"JCyL_ORD","JCyL_ORD_103",48.032274963602,0,0,0,0,16.0107583212007,16.0107583212007,0,0,16.0107583212007,26.9,44.2,34.0666666666667,34.854268031333,4.58284291534631,568.321965016027,1534.38526793979,954.117396858488,15.2,17.5,16.6333333333333,16.6333333333333,34.0666666666667,21,NA,NA,4.58284291534631,NA,NA,48.032274963602,NA,NA,4.58284291534631,NA,48.032274963602,NA,48.825831702544,48.825831702544,28.1777326482976,86.7469333589909,161.454235392166
"JCyL_ORD","JCyL_ORD_104",48.032274963602,0,0,0,0,0,48.032274963602,0,0,0,27.75,31.5,30.05,30.0949746635547,3.41673268447261,604.805673201247,779.311327631118,711.341007075294,17.7,22.8,20.0666666666667,20.0666666666667,30.05,21,NA,NA,3.41673268447261,NA,NA,48.032274963602,NA,NA,3.41673268447261,NA,48.032274963602,NA,66.777592900721,66.777592900721,35.6651479104465,71.9048500766386,133.830005748656
"JCyL_ORD","JCyL_ORD_105",48.032274963602,0,0,0,0,0,48.032274963602,0,0,0,27.8,30.8,28.8666666666667,28.8991349351499,3.15059604647654,606.987116600084,745.060113725355,655.933130143013,14.5,16.2,15.4666666666667,15.4666666666667,28.8666666666667,21,NA,NA,3.15059604647654,NA,NA,48.032274963602,NA,NA,3.15059604647654,NA,48.032274963602,NA,53.5796766743649,53.5796766743649,38.0633227889377,93.2903442804665,173.63289538942
