fid,IFN_PLOT_ID,N,N_0_75,N_75_125,N_125_175,N_175_225,N_225_275,N_275_325,N_325_375,N_375_425,N_425_,dbh_min,dbh_max,dbh_mean,dg,G,g_min,g_max,g_mean,h_min,h_max,h_mean,Ho,Do,sp_1,sp_2,sp_3,G_sp_1,G_sp_2,G_sp_3,N_sp_1,N_sp_2,N_sp_3,G_alive,G_dead,N_alive,N_dead,slenderness,dominant_slenderness,SDI,S,S_staggered,INVENTORY_ID,Region_id,Region_name,Province_id,Province_name,N_plot,Class,Subclass,PLOT_ID,PLOT_ID_short,Slope_max,Fito-OBJECTID,Fito-ALLUE,Fito-ORDEN,Fito-Tipo_Fitoc,Fito-Asociacion,Fito-Shape_Leng,Fito-Shape_Area,Biogeo-objectid,Biogeo-descripcio,Biogeo-st_perimet,Veget-OBJECTID,Veget-SERIES,Veget-REGION,Veget-AZONAL,Veget-PISO,Veget-Ha,Veget-Shape_Leng,Veget-Shape_Area,Climate_region,X_UTM,Y_UTM,Longitude,Latitude,zone,ALT
18,IFN2_24_1278,254.64790894703253,0,254.64790894703253,0,0,0,0,0,0,0,8.95,9,8.975000000000001,8.975034818873963,1.6110249999999997,62.91235638354409,63.61725123519331,63.26480380936869,4,4.5,4.25,4.5,9,21,25,NA,0.8099999999999999,0.8010249999999998,NA,127.32395447351627,127.32395447351627,NA,1.6110249999999997,NA,254.64790894703253,NA,47.35376044568245,50,1318.2895823694435,139.2571263683889,259.1867169260357,IFN2,7,Castilla y León,24,León,1278,NA,NA,24_1278,24_1278,0.25,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,341000,4723000,-4.93938710905612,42.6422831128143,30,1066.916015625
138,IFN3_24_1278_A_1,1464.2254764454372,0,763.9437268410976,668.4507609859604,31.830988618379067,0,0,0,0,0,9.55,18.75,12.897826086956522,13.12992764641146,19.825425,71.6302759972558,276.11654181941543,135.3987163789031,5.5,8.5,6.510869565217391,8.477464829275686,17.498028232531908,21,25,NA,12.41444375,7.410981249999999,NA,986.7606471697511,477.464829275686,NA,19.825425,NA,1464.2254764454372,NA,50.48036406539692,48.448114933970615,4116.144652395522,30.826912082172335,57.37534834956559,IFN3,7,Castilla y León,24,León,1278,A,1,24_1278_A_1,24_1278,0.2,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,341000,4723000,-4.93938710905612,42.6422831128143,30,1066.916015625
274,IFN4_24_1290_A_4,618.9358898018152,0,0,31.830988618379067,190.9859317102744,240.50080289441962,141.47106052612918,14.14710605261292,0,0,17.15,33.55,24.200000000000003,24.520033209019694,29.226556944444447,231.00327131386595,884.0461362155761,472.2065310157222,12.6000003814697,17.7999992370605,15.403428649902342,17.310266179758386,29.681565104997524,21,25,NA,18.31502777777778,10.911529166666668,NA,396.1189694731617,222.81692032865348,NA,29.226556944444447,NA,618.9358898018152,NA,63.65053161116669,58.319923893918364,638.4958645440323,23.220599108084752,43.2184047224911,IFN4,7,Castilla y León,24,León,1290,A,4,24_1290_A_4,24_1290,0.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,343910,4721824,-4.90358917150432,42.632293918201,30,1067.00402832031
28,IFN2_24_1290,841.7528101304687,0,0,509.29581789406507,318.3098861837907,14.14710605261292,0,0,0,0,13.350000000000001,23.200000000000003,16.909453781512603,17.033140275564538,19.180675694444442,139.97562417610175,422.73270746704264,227.86589440041794,7,9.5,8.308823529411764,9.22989047335496,20.413145596216236,25,21,26,9.399049999999999,9.18358125,0.5980444444444445,381.9718634205488,445.6338406573069,14.14710605261292,19.180675694444442,NA,841.7528101304687,NA,49.13714917566376,45.21542468724568,1558.2970853354348,37.34316856623692,69.50346824401771,IFN2,7,Castilla y León,24,León,1290,NA,NA,24_1290,24_1290,1,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,344000,4722000,-4.9025404344916,42.6338962216479,30,1067.44006347656
148,IFN3_24_1290_A_1,894.8044578277671,0,0,190.9859317102744,477.464829275686,212.2065907891938,14.14710605261292,0,0,0,12.8,30.9,20.377272727272725,20.674984646150936,30.040586805555552,128.67963509103794,749.9060203935176,335.72236417420487,9,14,11.853754940711463,13.389045416446857,25.95618166578743,21,25,26,13.779966666666667,13.412539583333333,2.8480805555555553,470.39127624937953,367.8247573679359,56.58842421045168,30.040586805555552,NA,894.8044578277671,NA,58.17144963097305,51.58326285755203,1213.7585825747194,24.96814718333833,46.470958183182105,IFN3,7,Castilla y León,24,León,1290,A,1,24_1290_A_1,24_1290,1,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,344000,4722000,-4.9025404344916,42.6338962216479,30,1067.44006347656
12,IFN2_24_1272,1687.0423967740905,0,1145.9155902616465,350.1408748021697,190.9859317102744,0,0,0,0,0,7.75,20.200000000000003,11.508490566037736,12.000764519671394,19.08243125,47.17297718905924,320.4738665926949,113.11174684458923,4.5,8.5,6.132075471698114,7.977464829275687,19.657324050425974,21,43,NA,13.22943125,5.853000000000001,NA,795.7747154594766,891.2676813146138,NA,19.08243125,NA,1687.0423967740905,NA,53.28305598819576,40.582659210437214,5478.849915300461,30.519126783228035,56.80249536005007,IFN2,7,Castilla y León,24,León,1272,NA,NA,24_1272,24_1272,3,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,340000,4724000,-4.95185909724356,42.6510761528736,30,1067.5400390625
132,IFN3_24_1272_A_4,1793.1456921686874,0,891.2676813146138,604.7887837492023,254.64790894703253,42.44131815783876,0,0,0,0,8.75,26.25,13.721499013806707,14.258485137702767,28.63203611111111,60.132046885117134,541.1884219660542,159.67490113133314,7.5,14.5,9.753451676528599,12.495148711841452,22.605414787367227,21,43,25,14.65598125,10.059823611111112,3.91623125,696.7449730911862,937.2457759856059,159.15494309189535,28.63203611111111,NA,1793.1456921686874,NA,71.08153173873043,55.275025162662445,4415.923127102332,18.899520339011463,35.175970924366055,IFN3,7,Castilla y León,24,León,1272,A,4,24_1272_A_4,24_1272,3,1111,VI(IV)1,9,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",5735767.54682,101976306149,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,340000,4724000,-4.95185909724356,42.6510761528736,30,1067.5400390625
179,IFN3_24_2248_N_N,339.53054526271006,0,0,0,0,183.91237868396794,113.17684842090335,28.29421210522584,14.14710605261292,0,23.4,38.25,28.30625,28.521685828506005,21.692975,430.0526183499067,1149.0866004356792,638.9108521360035,10.5,16,13.312499999999998,14.707355302630651,32.70036011999717,43,NA,NA,21.692975,NA,NA,339.53054526271006,NA,NA,21.692975,NA,339.53054526271006,NA,47.03024950320158,44.97612640552144,274.7997808750315,36.899968060309924,68.67857915527337,IFN3,7,Castilla y León,24,León,2248,N,N,24_2248_N_N,24_2248,2.8,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,340000,4733000,-4.95439800778472,42.7320767053577,30,1070.86010742188
293,IFN4_24_2248_A_1,302.182185283812,0,0,0,0,28.29421210522584,169.76527263135503,84.88263631567752,14.14710605261292,5.092958178940651,24.35,42.900000000000006,31.22397003745318,31.445465545461182,23.467930666666668,465.68024253702356,1445.4546338982982,776.6152940030331,10,15.1000003814697,12.459363265876911,13.862003261843364,35.69082024704929,43,NA,NA,23.467930666666668,NA,NA,302.182185283812,NA,NA,23.467930666666668,NA,302.182185283812,NA,39.90320017259783,38.839127724976834,209.11343464597715,41.499185650514804,77.23868763029841,IFN4,7,Castilla y León,24,León,2248,A,1,24_2248_A_1,24_2248,2.75,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,339892,4732794,-4.95565820799823,42.7302001936844,30,1071.85205078125
5,IFN2_24_1263,1114.0846016432674,0,1018.5916357881301,95.4929658551372,0,0,0,0,0,0,7.55,14.2,10.021428571428572,10.161513526185809,9.03493125,44.769658809063046,158.36768566746147,81.09735325911099,3.5,6.5,4.728571428571429,6.5,13.430281845556797,25,43,21,6.61520625,1.8497000000000001,0.570025,827.6057040778558,159.15494309189535,127.32395447351627,9.03493125,NA,1114.0846016432674,NA,47.18460441910192,48.39809078281127,4725.455244227925,46.092212720084326,85.78727424815615,IFN2,7,Castilla y León,24,León,1263,NA,NA,24_1263,24_1263,5.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,342000,4725000,-4.92775246137296,42.6604894397869,30,1071.85607910156
