fid,IFN_PLOT_ID,N,N_0_75,N_75_125,N_125_175,N_175_225,N_225_275,N_275_325,N_325_375,N_375_425,N_425_,dbh_min,dbh_max,dbh_mean,dg,G,g_min,g_max,g_mean,h_min,h_max,h_mean,Ho,Do,sp_1,sp_2,sp_3,G_sp_1,G_sp_2,G_sp_3,N_sp_1,N_sp_2,N_sp_3,G_alive,G_dead,N_alive,N_dead,slenderness,dominant_slenderness,SDI,S,S_staggered,INVENTORY_ID,Region_id,Region_name,Province_id,Province_name,N_plot,Class,Subclass,PLOT_ID,PLOT_ID_short,Slope_max,Fito-OBJECTID,Fito-ALLUE,Fito-ORDEN,Fito-Tipo_Fitoc,Fito-Asociacion,Fito-Shape_Leng,Fito-Shape_Area,Biogeo-objectid,Biogeo-descripcio,Biogeo-st_perimet,Veget-OBJECTID,Veget-SERIES,Veget-REGION,Veget-AZONAL,Veget-PISO,Veget-Ha,Veget-Shape_Leng,Veget-Shape_Area,Climate_region,X_UTM,Y_UTM,Longitude,Latitude,zone,ALT
782,IFN4_34_1071_A_1,45.978094670991986,0,0,31.830988618379067,0,14.14710605261292,0,0,0,0,17.5,26.150000000000002,20.161538461538463,20.553008389190957,1.5254277777777778,240.52818754046854,537.0729355898517,331.7727254018172,12.6000003814697,16.7000007629395,13.861538960383484,13.861538960383484,20.161538461538463,258,NA,NA,1.5254277777777778,NA,NA,45.978094670991986,NA,NA,1.5254277777777778,NA,45.978094670991986,NA,68.75238706027672,68.75238706027672,62.962167137449825,106.39300243364747,198.0196900784277,IFN4,7,Castilla y León,34,Palencia,1071,A,1,34_1071_A_1,34_1071,1.25,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,41,19d,II,z,G,391164.52743,2382404.15546,3911645274.3,Mediterránea,361892,4741794,-4.68926018911301,42.815484325309,30,1120.19604492188
783,IFN4_34_1072_A_1,1676.0076540530524,0,381.9718634205488,318.3098861837907,682.5978670385733,240.50080289441962,28.29421210522584,14.14710605261292,0,10.185916357881302,10.25,48.55,18.55092428462902,19.405447284633887,49.569346555555555,82.5158945419444,1851.2639744395335,295.7584736303745,4.59999990463257,22.1000003814697,12.20211869834938,19.508161953023055,31.064300865546485,43,NA,NA,49.569346555555555,NA,NA,1676.0076540530524,NA,NA,44.114634055555555,5.454712499999999,1198.5428247773664,477.464829275686,65.77633820897996,62.79929504114357,2516.820492342952,12.521191242884424,23.304562824749805,IFN4,7,Castilla y León,34,Palencia,1072,A,1,34_1072_A_1,34_1072,6.75,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Mediterránea,350892,4740794,-4.82347752125351,42.8044202503261,30,1197.37609863281
784,IFN4_34_1073_A_1,1280.3130977614692,0,127.32395447351627,350.1408748021697,491.6119353282989,212.2065907891938,70.73553026306459,14.14710605261292,14.14710605261292,0,11.2,37.7,19.851795580110494,20.57907787371914,42.58512152777778,98.5203456165759,1116.2785556551594,332.61490179421463,7.59999990463257,19.3999996185303,12.112707164406121,17.985446135524384,31.498779724730912,43,42,NA,41.34491527777778,1.2402062500000002,NA,1216.651120524711,63.66197723675813,NA,41.34491527777778,1.2402062500000002,1216.651120524711,63.66197723675813,61.01567546132622,57.09886634561692,1749.6908303661608,15.538914986969278,28.9211795840961,IFN4,7,Castilla y León,34,Palencia,1073,A,1,34_1073_A_1,34_1073,5.75,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,41,19d,II,z,G,391164.52743,2382404.15546,3911645274.3,Mediterránea,356892,4740794,-4.7501361825233,42.8055650217836,30,1193.46008300781
785,IFN4_34_1076_A_1,2051.330377628873,0,1782.5353626292276,190.9859317102744,63.66197723675813,0,0,14.14710605261292,0,0,7.95,34.5,10.25896551724138,10.70507855629989,18.463125,49.639127422127224,934.8201639838128,90.00561392427423,1.70000004768372,12.3999996185303,5.710517246147682,10.858466235733168,20.745430941208078,43,NA,NA,18.463125,NA,NA,2051.330377628873,NA,NA,18.463125,NA,2051.330377628873,NA,55.66367521706254,52.341483127083414,8002.719636727962,20.333573458469097,37.84504452672165,IFN4,7,Castilla y León,34,Palencia,1076,A,1,34_1076_A_1,34_1076,7.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,41,19d,II,z,G,391164.52743,2382404.15546,3911645274.3,Mediterránea,360892,4738794,-4.70074640327989,42.7882997986732,30,1097.16809082031
786,IFN4_34_1078_A_1,282.94212105225836,0,0,159.15494309189535,95.4929658551372,28.29421210522584,0,0,0,0,13.600000000000001,25.099999999999998,17.02625,17.43215957648392,6.752893055555555,145.26724430199206,494.8086969220263,238.66694115537223,8.60000038146973,14.3000001907349,11.046250152587895,13.128857642004629,21.630814092560804,395,57,NA,5.480337499999999,1.2725555555555554,NA,254.64790894703253,28.29421210522584,NA,6.752893055555555,NA,282.94212105225836,NA,64.87776317502617,60.69516193807917,504.6876230710079,45.28186007127185,84.27903802301385,IFN4,7,Castilla y León,34,Palencia,1078,A,1,34_1078_A_1,34_1078,4.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,146,I,II,g,-,1467668.66414,22277169.8112,14676686641.4,Mediterránea,348892,4737794,-4.84712033721061,42.7770268586585,30,1081.32006835938
787,IFN4_34_108_A_1,785.164385920017,0,0,63.66197723675813,254.64790894703253,268.79501499964545,155.61816657874212,42.44131815783876,0,0,14.25,36.55,24.311711711711713,24.816795388070016,37.978855555555555,159.48491455489435,1049.2153699780595,483.7057848854645,5.09999990463257,15.5,11.744594507389243,15.267824834617077,32.89037579407574,25,NA,NA,37.978855555555555,NA,NA,785.164385920017,NA,NA,37.978855555555555,NA,785.164385920017,NA,48.30838176536744,46.42034171396467,794.4882117555479,23.374511055277402,43.504867134353795,IFN4,7,Castilla y León,34,Palencia,108,A,1,34_108_A_1,34_108,5.25,447,VIII(VI),16,Oroborealoide,"Pinares de silvestre, Pinares moros, Robledales pubescentes, Hayedos, Pastos alpinos y alpinoideos",56843.2626665,68231134788,17383,Región Biogeográfica Atlántica,54.8128766254,31,18bb,II,z,G,805720.731678,3078781.66542,8057207316.78,Atlántica,362902,4745765,-4.67787852423645,42.8514096946492,30,1304.64001464844
788,IFN4_34_1080_A_6C,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN4,7,Castilla y León,34,Palencia,1080,A,6C,34_1080_A_6C,34_1080,0.25,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,146,I,II,g,-,1467668.66414,22277169.8112,14676686641.4,Mediterránea,348892,4736794,-4.84685280533073,42.7680263712311,30,1075.42407226562
789,IFN4_34_1082_A_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,IFN4,7,Castilla y León,34,Palencia,1082,A,1,34_1082_A_1,34_1082,8,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,41,19d,II,z,G,391164.52743,2382404.15546,3911645274.3,Mediterránea,365892,4736794,-4.63916577472952,42.7711883232635,30,1078.01208496094
790,IFN4_34_1083_A_1,339.53054526271006,0,0,0,0,14.14710605261292,141.47106052612918,169.76527263135503,14.14710605261292,0,23.200000000000003,39,32.291666666666664,32.50473362963206,28.17487222222222,422.73270746704264,1194.5906065275187,829.8184836484168,13.3000001907349,20.1000003814697,17.17499991257985,19.18641633178667,36.34522708223428,25,26,NA,15.196722222222222,12.97815,NA,198.05948473658088,141.47106052612918,NA,28.17487222222222,NA,339.53054526271006,NA,53.187096503473086,52.78936980741849,222.79131326210617,28.28568563998025,52.6455929992002,IFN4,7,Castilla y León,34,Palencia,1083,A,1,34_1083_A_1,34_1083,2.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,27,18a,II,z,G,1162167.51776,6176518.66068,11621675177.6,Mediterránea,369892,4735794,-4.59006320636924,42.7628758875508,30,1092.02404785156
791,IFN4_34_1084_A_1,1276.776321248316,0,381.9718634205488,413.8028520389279,381.9718634205488,70.73553026306459,28.29421210522584,0,0,0,8.05,28.3,15.371883656509693,16.195979246940055,26.303838194444445,50.89576448356315,629.0175350833823,206.01759099610288,4.09999990463257,14.5,9.006925176055141,13.845289640610545,25.909734308284058,43,NA,NA,26.303838194444445,NA,NA,1276.776321248316,NA,NA,26.303838194444445,NA,1276.776321248316,NA,58.59350342038846,53.4366330270852,2562.7719331896033,20.213454656276973,37.62147824474262,IFN4,7,Castilla y León,34,Palencia,1084,A,1,34_1084_A_1,34_1084,6.5,334,VI(IV)2,10,Nemoral,"Quejigares, Melojares o Rebollares, Encinares alsinares, Robledales pubescentes y pedunculados, Hayedos",1816783.79757,10750988090.6,17386,Región Biogeográfica Mediterránea,89.5627819843,41,19d,II,z,G,391164.52743,2382404.15546,3911645274.3,Mediterránea,361892,4734794,-4.68754752430683,42.752475647779,30,1089.64001464844
