OBJECTID,Parcela,E_m,N_m,EllipsH_m,Pvert_m,Phorz_m,DateTime_,COD_MASA,ESTRATO,gridcode,CoordX,CoordY,ALT
126,112,359197.20510000002,4726540.38100000005,1082.17810000000,0.04660000000,0.09170000000,"27/03/2023
07:14:42",Psr F d,Pino silvestre,322,359197.20510000002,4726540.38100000005,1026.00402832031
127,5,345334.55040000001,4726769.02500000037,1172.97080000000,1.19490000000,0.74830000000,"29/03/2023
08:31:36",Pnr F d,Pino laricio,242,345334.55040000001,4726769.02500000037,1103.50805664062
128,6,359863.08399999997,4726839.92100000009,1139.63610000000,0.51750000000,0.14250000000,"27/03/2023
07:50:38",Pnr F d,Pino laricio,222,359863.08399999997,4726839.92100000009,1081.34399414062
129,111,361535.54780000000,4726896.03699999955,1086.66260000000,0.08100000000,0.05160000000,"28/03/2023
06:05:20",Psr F d,Pino silvestre,322,361535.54780000000,4726896.03699999955,1029.86096191406
130,109,356084.65840000001,4727036.91600000020,1108.82680000000,0.13490000000,0.16430000000,"27/03/2023
06:25:14",Psr F d,Pino silvestre,342,356084.65840000001,4727036.91600000020,1051.76403808594
131,108,362153.55880000000,4727158.25100000016,1089.81340000000,0.14610000000,0.08240000000,"28/03/2023
05:27:11",Psr F d,Pino silvestre,242,362153.55880000000,4727158.25100000016,1038.71203613281
132,304,372497.53670000000,4727339.94099999964,1059.34020000000,0.05700000000,0.01950000000,"23/03/2023
08:00:06",Ptr F d,Pino pinaster,122,372497.53670000000,4727339.94099999964,1001.42407226562
133,114,358450.29119999998,4727344.73400000017,1106.11310000000,0.35590000000,0.37670000000,"27/03/2023
08:50:43",Psr F d,Pino silvestre,342,358450.29119999998,4727344.73400000017,1050.44006347656
134,118,345722.55180000002,4727798.79600000009,1181.86710000000,0.89080000000,0.54540000000,"29/03/2023
05:47:21",Psr F d,Pino silvestre,242,345722.55180000002,4727798.79600000009,1110.35205078125
135,4,347426.94150000002,4727921.76499999966,1164.20830000000,0.00650000000,0.01560000000,"29/03/2023
07:31:13",Pnr F d,Pino laricio,132,347426.94150000002,4727921.76499999966,1107.30407714844
136,3,356796.70030000003,4728079.93499999959,1168.86250000000,1.01560000000,0.84690000000,"27/03/2023
09:30:09",Pnr F d,Pino laricio,232,356796.70030000003,4728079.93499999959,1099.33020019531
137,107,346981.12839999999,4728183.54600000009,1176.03840000000,0.06230000000,0.03660000000,"29/03/2023
06:55:10",Psr F d,Pino silvestre,332,346981.12839999999,4728183.54600000009,1114.27807617188
138,2,348652.39529999997,4728286.47400000039,1155.66960000000,0.41250000000,0.26500000000,"29/03/2023
02:06:09",Pnr LA d,Pino laricio,222,348652.39529999997,4728286.47400000039,1089.96496582031
