"species","model_name","fe_combi","n_fe_combi","re_combi","n_re_combi","start","r_squared","rmse","mae","bias","bic","aic","loglik","error"
"DF","chapman_richards_1959","a ~ 1; b ~ 1; c ~ ccfl + bal",5,"a + b + c ~ 1 | standid",8,"41.7075853309834; -0.0321665226819685; 1.16761236289872",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_1959","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"b + c ~ 1 | standid",7,"41.7075853309834; -0.0321665226819685; 1.16761236289872",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_1959","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"""none""",1,"41.7075853309834; -0.0321665226819685; 1.16761236289872",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_1959","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"b + c ~ 1 | standid",7,"41.7075853309834; -0.0321665226819685; 1.16761236289872",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_1959","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"a + b + c ~ 1 | standid",8,"41.7075853309834; -0.0321665226819685; 1.16761236289872",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_1959","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"""none""",1,"41.7075853309834; -0.0321665226819685; 1.16761236289872",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ 1; c ~ 1",1,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ 1; c ~ 1",1,"b + c ~ 1 | standid",7,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ 1; c ~ 1",1,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ 1",2,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ 1",2,"b + c ~ 1 | standid",7,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ 1",2,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ ccfl + bal; c ~ 1",3,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ ccfl + bal; c ~ 1",3,"b + c ~ 1 | standid",7,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ ccfl + bal; c ~ 1",3,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"b + c ~ 1 | standid",7,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ 1; c ~ ccfl + bal",5,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ 1; c ~ ccfl + bal",5,"b + c ~ 1 | standid",7,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ 1; c ~ ccfl + bal",5,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"b + c ~ 1 | standid",7,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"""none""",1,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a + b ~ 1 | standid",4,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"DF","chapman_richards_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a + b + c ~ 1 | standid",8,"43.9801396044063; -0.0286247937869242; 1.01694900423467",NA,NA,NA,NA,NA,NA,NA,TRUE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"b ~ 1 | standid",3,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.843460124516736,2.53101243722215,1.79251067446692,0.0276945262916601,1224.58647840545,1193.37393713523,-587.686968567617,FALSE
"PM","elmamoun_2013_M5","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"b ~ 1 | standid",3,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.843285068515523,2.53242098462932,1.78950994147371,0.0237680881016422,1224.73943145975,1193.52689018953,-587.763445094766,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"b ~ 1 | standid",3,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.844391755560666,2.52344840489906,1.81229626149104,-0.00879626608357364,1232.45608073571,1194.30741918322,-586.15370959161,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.845414588661104,2.51514184606448,1.79398219560561,-0.00982866081781845,1235.20659456613,1197.05793301364,-587.52896650682,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.845414588661104,2.51514184606448,1.79398219560561,-0.00982866081781845,1235.20659456613,1197.05793301364,-587.52896650682,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ 1; beta2 ~ ccfl + bal",6,"beta0 + beta1 ~ 1 | standid",4,"19.359573492255; 6.21836908357838; 0.162358647153102",0.845412500172379,2.51515884038004,1.79398931584626,-0.00983571986774943,1235.20706309508,1197.05840154259,-587.529200771297,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"b + c ~ 1 | standid",7,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.843460125486377,2.5310124293577,1.79251067848265,0.027694511324114,1235.52259699159,1197.37393543911,-587.686967719554,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a + b ~ 1 | standid",4,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.84345978373429,2.53101517362785,1.79252730430716,0.0276836882612046,1235.5228001,1197.37413854751,-587.687069273755,FALSE
"PM","elmamoun_2013_M5","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"b + c ~ 1 | standid",7,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.843285069325394,2.53242097810608,1.7895099397352,0.0237681018892225,1235.67555109282,1197.52688954034,-587.763444770169,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"b + c ~ 1 | standid",7,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.844392717191578,2.5234405270006,1.81221866469635,-0.00864628668787885,1243.3922545198,1198.30747268504,-586.15373634252,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.845622171972585,2.51345774525456,1.79053988321597,-0.0162889939089304,1245.31023225138,1200.22545041662,-587.112725208311,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.845622171972585,2.51345774525456,1.79053988321597,-0.0162889939089304,1245.31023225138,1200.22545041662,-587.112725208311,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ ccfl + bal; beta2 ~ ccfl + bal",8,"beta0 + beta1 ~ 1 | standid",4,"19.359573492255; 6.21836908357838; 0.162358647153102",0.845625717165703,2.51342891253492,1.79048671705986,-0.0163164198187351,1245.31051050858,1200.22572867383,-587.112864336913,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a + b + c ~ 1 | standid",8,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.846823169933291,2.50365488603257,1.78954907859608,-0.00625378308363864,1249.76526138844,1201.21241941254,-586.606209706272,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a + b + c ~ 1 | standid",8,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.846823169933291,2.50365488603257,1.78954907859608,-0.00625378308363864,1249.76526138844,1201.21241941254,-586.606209706272,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ 1; beta2 ~ ccfl + bal",6,"beta0 + beta1 + beta2 ~ 1 | standid",8,"19.359573492255; 6.21836908357838; 0.162358647153102",0.846822850355634,2.50365749847837,1.78954963277188,-0.00625566470471979,1249.76545474201,1201.21261276611,-586.606306383057,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ 1; beta2 ~ ccfl + bal",6,"beta0 ~ 1 | standid",2,"19.359573492255; 6.21836908357838; 0.162358647153102",0.83868161040226,2.56933205821646,1.8673586032081,-0.0104496377009533,1233.12049429364,1201.90795302343,-591.953976511713,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a ~ 1 | standid",2,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.838681609596608,2.56933206464506,1.86735860509179,-0.0104496571424251,1233.12049441488,1201.90795314466,-591.953976572332,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a ~ 1 | standid",2,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.838681609596608,2.56933206464506,1.86735860509179,-0.0104496571424251,1233.12049441488,1201.90795314466,-591.953976572332,FALSE
"PM","pearl_1920","beta0 ~ 1; beta1 ~ 1; beta2 ~ ccfl + bal",5,"beta0 + beta1 ~ 1 | standid",4,"19.359573492255; 6.21836908357838; 0.162358647153102",0.83901666368411,2.5666639364702,1.86191594083863,-0.0125011395786977,1233.2763293959,1202.06378812569,-592.031894062844,FALSE
"PM","huang_1992_VII","a ~ 1; b ~ 1; c ~ ccfl + bal",5,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.839016708919727,2.56666357580528,1.86191561050573,-0.0125010704611681,1233.27642972416,1202.06388845395,-592.031944226973,FALSE
"PM","logistic_model","a ~ 1; b ~ 1; c ~ ccfl + bal",5,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.839016708919727,2.56666357580528,1.86191561050573,-0.0125010704611681,1233.27642972416,1202.06388845395,-592.031944226973,FALSE
"PM","chapman_richards_1959","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a ~ 1 | standid",2,"19.3593292105871; -0.0827533859988664; 1.48076245510141",0.83823801507208,2.57290293622656,1.8609726579959,-0.0374738060309523,1233.37394054357,1202.16139927336,-592.080699636678,FALSE
"PM","huang_2000_II","a ~ ccfl + bal; b ~ ccfl + bal",4,"b ~ 1 | standid",3,"1.23867315241437; 0.0235282445517967",0.83520426510596,2.59691171489032,1.88592478010614,-0.0349574789188998,1230.79181747048,1203.0473363414,-593.523668170699,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ ccfl + bal; beta2 ~ ccfl + bal",8,"beta0 ~ 1 | standid",2,"19.359573492255; 6.21836908357838; 0.162358647153102",0.839535816589606,2.56251772214984,1.85872380593799,-0.00445007760210952,1241.29173342572,1203.14307187323,-590.571535936616,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a ~ 1 | standid",2,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.839535815935894,2.56251772736888,1.85872380797445,-0.00445007526017729,1241.29173366356,1203.14307211107,-590.571536055535,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a ~ 1 | standid",2,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.839535815935894,2.56251772736888,1.85872380797445,-0.00445007526017729,1241.29173366356,1203.14307211107,-590.571536055535,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"b ~ 1 | standid",3,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.837186892690055,2.58125005654584,1.84199387909451,0.0380406547020223,1234.52310224268,1203.31056097246,-592.65528048623,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ ccfl + bal; beta2 ~ 1",4,"beta0 ~ 1 | standid",2,"19.359573492255; 6.21836908357838; 0.162358647153102",0.836179183604846,2.5891801856672,1.9090436481681,0.00165402829879218,1234.83803166235,1203.62549039213,-592.812745196066,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"a ~ 1 | standid",2,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.8361791833183,2.58918018793148,1.9090436577271,0.00165402696771941,1234.83803255736,1203.62549128714,-592.812745643571,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"a ~ 1 | standid",2,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.8361791833183,2.58918018793148,1.9090436577271,0.00165402696771941,1234.83803255736,1203.62549128714,-592.812745643571,FALSE
"PM","chapman_richards_1959","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"a ~ 1 | standid",2,"19.3593292105871; -0.0827533859988664; 1.48076245510141",0.83734635240109,2.58004113510769,1.87115248707619,-0.0566178207230286,1234.91568254218,1203.70314127196,-592.85157063598,FALSE
"PM","huang_2000_II","a ~ ccfl + bal; b ~ ccfl + bal",4,"a + b ~ 1 | standid",4,"1.23867315241437; 0.0235282445517967",0.836382072988728,2.58769502044967,1.87952720434496,-0.0612860416350349,1239.29063262889,1204.61003121754,-592.305015608768,FALSE
"PM","chapman_richards_1959","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a ~ 1 | standid",2,"19.3593292105871; -0.0827533859988664; 1.48076245510141",0.83892832570244,2.56742939822039,1.85762312317786,-0.0459545983196313,1242.8334595427,1204.68479799022,-591.342398995108,FALSE
"PM","chapman_richards_1959","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"a + b + c ~ 1 | standid",8,"19.3593292105871; -0.0827533859988664; 1.48076245510141",0.845625351093538,2.51347631797731,1.79320896926607,-0.0413865976540187,1253.41945065687,1204.86660868098,-588.43330434049,FALSE
"PM","huang_2000_II","a ~ ccfl + bal; b ~ ccfl + bal",4,"a ~ 1 | standid",2,"1.23867315241437; 0.0235282445517967",0.831728609275088,2.62437410351408,1.91697434556339,-0.0899023035994251,1232.92995465718,1205.1854735281,-594.592736764048,FALSE
"PM","huang_1992_VII","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.839361676421684,2.56391742807672,1.8575535465734,-0.018084849236296,1243.68288930279,1205.53422775031,-591.767113875154,FALSE
"PM","logistic_model","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"a + b ~ 1 | standid",4,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.839361676421684,2.56391742807672,1.8575535465734,-0.018084849236296,1243.68288930279,1205.53422775031,-591.767113875154,FALSE
"PM","pearl_1920","beta0 ~ 1; beta1 ~ ccfl + bal; beta2 ~ ccfl + bal",7,"beta0 + beta1 ~ 1 | standid",4,"19.359573492255; 6.21836908357838; 0.162358647153102",0.839362238647592,2.56391294260681,1.85754766034617,-0.0180860175920007,1243.68309863445,1205.53443708197,-591.767218540984,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ ccfl + bal; beta2 ~ ccfl + bal",8,"beta0 + beta1 + beta2 ~ 1 | standid",8,"19.359573492255; 6.21836908357838; 0.162358647153102",0.845622241270694,2.51345718092815,1.79053933427984,-0.0162887961642225,1261.71453966713,1206.22557740897,-587.112788704485,FALSE
"PM","huang_1992_VII","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a + b + c ~ 1 | standid",8,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.845619010012824,2.51348345812623,1.79059000436972,-0.0162617233583126,1261.71495377792,1206.22599151976,-587.11299575988,FALSE
"PM","logistic_model","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"a + b + c ~ 1 | standid",8,"19.3594982144955; 6.21858720135777; 0.162362156548621",0.845619010012824,2.51348345812623,1.79059000436972,-0.0162617233583126,1261.71495377792,1206.22599151976,-587.11299575988,FALSE
"PM","elmamoun_2013_M5","a ~ 1; b ~ ccfl + bal; c ~ ccfl + bal",7,"c ~ 1 | standid",5,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.833677840508757,2.60891523158843,1.83908471758606,0.0368189036254554,1237.56123565788,1206.34869438767,-594.174347193834,FALSE
"PM","chapman_richards_model","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"a ~ 1 | standid",2,"21.2509183026102; -0.0679460398659201; 1.08686769077266",0.835090472564016,2.59787167075951,1.907318863367,-0.056773647493622,1237.85230755537,1206.63976628516,-594.319883142578,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"a + b ~ 1 | standid",4,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.837191114998675,2.58121633619565,1.84198126484752,0.0379364233805208,1245.45879935364,1207.31013780115,-592.655068900575,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ ccfl + bal; c ~ 1",4,"b + c ~ 1 | standid",7,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.837179403169573,2.58130967066246,1.84205946413261,0.0381426717980665,1245.46019562486,1207.31153407237,-592.655767036187,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ 1; c ~ ccfl + bal",6,"c ~ 1 | standid",5,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.832651182408647,2.61695645654927,1.84651268834847,0.0374825802599294,1239.11499642161,1207.9024551514,-594.951227575699,FALSE
"PM","elmamoun_2013_M5","a ~ ccfl + bal; b ~ ccfl + bal; c ~ ccfl + bal",8,"c ~ 1 | standid",5,"0.537945631837618; 1.24141435175431; -0.00738653718909531",0.834342577683224,2.6036550219963,1.87101744614048,0.00718228690705921,1246.09453724527,1207.94587569278,-592.972937846391,FALSE
"PM","pearl_1920","beta0 ~ ccfl + bal; beta1 ~ 1; beta2 ~ 1",2,"beta0 + beta1 ~ 1 | standid",4,"19.359573492255; 6.21836908357838; 0.162358647153102",0.84580858604566,2.51202314696936,1.82291266895472,0.0546093560366618,1239.24459486059,1208.03205359038,-595.016026795189,FALSE
