"RMSE","R2","AIC","MB","Modelo","attempt","species"
2.17339462354471,0.598956402507883,67195.1732984331,0.000746123518151201,"huang_1992",1,21
2.17720071276741,0.597550542537,67248.7242207615,0.00229932686135019,"pearl_1920",1,21
2.17152999072082,0.59964424655226,67168.9040483182,-0.000158771714797317,"ratkowsky_1986",1,21
2.17678204663029,0.597705306182466,67240.8382554097,-0.00742774995153777,"schumacher_1939",1,21
2.17147663850083,0.5996639189546,67168.1520816811,-0.000134777248279325,"huang_1992_I",1,21
2.17152999072082,0.59964424655226,67168.9040483182,-0.000158771073912467,"peschel_1938",1,21
2.17176472490805,0.599557687985647,67172.2122624789,-0.011957723959368,"huang_1992_IV",1,21
2.20121407682119,0.588623978645978,67584.4440758762,-0.00845435919332022,"larsen_hann_1987",1,21
2.17720071254317,0.597550542619899,67248.7242176093,0.00229949525612068,"huang_1992_VII",1,21
2.17161402719521,0.599613259057568,67170.0884531295,-0.000397370317719891,"strand_1958",1,21
2.19824204445792,0.589734090999099,67541.0925843101,0.0121113548906337,"elmamoun_2013_M1",1,21
2.17678204663046,0.597705306182405,67240.838255412,-0.00742740018254158,"elmamoun_2013_M2",1,21
2.20799737986215,0.586084663768099,67678.6150806926,-0.00565009268720877,"elmamoun_2013_M3",1,21
2.1713952586754,0.599693924960034,67167.0050476462,-0.000233427416973823,"elmamoun_2013_M4",1,21
2.17384459914636,0.598790322668401,67201.5092521766,0.00198761106421517,"elmamoun_2013_M5",1,21
2.17190308515366,0.599506663064846,67172.1620679723,0.0023769174269358,"elmamoun_2013_M6",1,21
2.17190308515367,0.599506663064841,67172.1620679725,0.00237697262912901,"elmamoun_2013_M7",1,21
2.17259098550062,0.599252928783256,67181.8542797017,-0.00391383630669198,"elmamoun_2013_M8",1,21
2.17396827445241,0.59874466978121,67201.2504524205,-0.004987426769088,"elmamoun_2013_M10",1,21
2.17132138970513,0.599721160622874,67165.963840546,-0.000142073569521289,"elmamoun_2013_M11",1,21
2.1833467938389,0.595275163683606,67333.0010387779,0.0153019571610226,"elmamoun_2013_M12",1,21
2.17190308515367,0.599506663064841,67172.1620679725,0.00237697262912901,"elmamoun_2013_M13",1,21
2.17144411940519,0.599675909385073,67165.6937360207,0.000152329440765186,"elmamoun_2013_M14",1,21
2.17378389917831,0.598812728202445,67198.6546330558,-0.00529944599558828,"elmamoun_2013_M15",1,21
2.17524788833657,0.598272167023487,67219.2600717187,-0.00618373015755374,"elmamoun_2013_M16",1,21
2.17678204663023,0.597705306182488,67240.8382554088,-0.0074275944131276,"elmamoun_2013_M17",1,21
2.18160867397962,0.59591929431097,67308.6264949288,0.00762444164852779,"elmamoun_2013_M18",1,21
2.2041368682151,0.587530795966645,67625.0560351248,-0.00506476924804091,"elmamoun_2013_M19",1,21
2.17151915761568,0.599648241049385,67168.7513638771,0.000178966809627146,"elmamoun_2013_M20",1,21
2.20850747093546,0.585893396415913,67685.6848555423,0.00998121336669069,"elmamoun_2013_M21",1,21
2.17151915761477,0.599648241049721,67168.7513638643,0.000179089187369642,"elmamoun_2013_M22",1,21
2.17396827445241,0.59874466978121,67201.2504524205,-0.004987426769088,"wykoff_1982_II",1,21
2.2041368682151,0.587530795966645,67625.0560351248,-0.00506476924804091,"yang_1978",1,21
2.38217380282157,0.518206097591249,70002.4518884247,-0.0251970551829036,"ratkowsky_1990",1,21
2.17396827445241,0.59874466978121,67201.2504524205,-0.004987426769088,"wykoff_1982_III",1,21
2.17396827445213,0.598744669781312,67201.2504524166,-0.0049878781995244,"hui_gadow_1993_II",1,21
2.19824204445792,0.589734090999099,67541.0925843101,0.0121113548906337,"hui_gadow_1993_III",1,21
2.21997781876262,0.581580726645145,67842.2321816366,3.01188350042318e-12,"linear_model_I",1,21
2.17543421831264,0.59820334071282,67221.8816446635,-1.20970140436806e-15,"linear_model_II",1,21
2.17651490022208,0.59780404366325,67237.0818918628,0.00814483350955319,"hyperbolic_model_I",1,21
2.19217884942815,0.591994162115967,67456.55842709,0.00861143172212658,"power_model",1,21
2.17731754173533,0.597507350362784,67248.3664999685,-0.00604813424587589,"exponential_model",1,21
2.17720071254317,0.597550542619899,67248.7242176093,0.00229949525612068,"logistic_model",1,21
3.43196470190557,-8.1720037181654e-08,81175.2981799981,-1.16074420907805e-07,"lebedev_M3",1,21
3.43196885492476,-2.50192094397583e-06,81175.3352162847,-5.98907857187369e-06,"lebedev_M4",1,21
3.4806265022877,-0.0285591120627755,81606.2126145713,-0.134086203713445,"lebedev_M5",1,21
6.30397755897687,-2.37398950660726,99785.2120899322,-1.7904069160789,"lebedev_M8",1,21
3.4807280833995,-0.0286191493593535,81607.1058290943,-0.11999300774212,"lebedev_M9",1,21
2.17887718143482,0.596930522836856,67272.2821110537,0.00341155114000532,"lebedev_M13",1,21
2.34267805442793,0.534049664213089,69490.7596414183,0.00652466524540329,"lebedev_M19",1,21
2.17887718144613,0.596930522832672,67272.2821112125,0.00341149284742059,"lebedev_M23",1,21
3.43196463041759,-4.00599475813834e-08,81175.2975424738,-4.9603073237336e-09,"lebedev_M16_b",1,21
10.7872356286733,-8.87949489431065,116228.227525443,-10.2160998166708,"lebedev_M29_b",1,21
