"Modelo","R2","RMSE","Sesgo","MAE"
"Local 1: elmamoun_2013_M14",0.594100872172105,2.17983872545834,-0.0264615334817974,1.71731193978038
"Local 2 (Sustituir por Local Ext.): elmamoun_2013_M14",0.594100872172105,2.17983872545834,-0.0264615334817974,1.71731193978038
"General: Aitor 2025",0.536487211301347,2.32941123188475,-0.670460327334832,1.84394982977796
"Referencia (Sustituir por JCyL): Potencia",0.585456739031137,2.20292765165072,-0.0163135355765411,1.743754561147
